STL_horizon_hr,CHS_horizon_hr,best_lag_hours,best_lag_days,max_corr,N_overlap
6,36,-30.0,-1.25,0.7325582731204879,8703
6,42,-36.0,-1.5,0.7415620560331336,8722
6,48,-42.0,-1.75,0.7412516327155574,8792
6,54,-48.0,-2.0,0.6705687747410547,8802
6,60,-30.0,-1.25,0.6062965209430629,8758
6,66,-36.0,-1.5,0.5748868790954315,8750
6,72,-36.0,-1.5,0.5540514193295247,8748
6,78,-36.0,-1.5,0.5364573850570421,8753
6,84,-36.0,-1.5,0.5197717654680439,8760
6,90,-42.0,-1.75,0.5047354256845682,8764
6,96,-42.0,-1.75,0.48756715198695205,8758
6,102,-42.0,-1.75,0.4728541720773843,8753
6,108,-42.0,-1.75,0.4611568820795846,8751
6,114,-42.0,-1.75,0.45294820529770413,8742
6,120,-42.0,-1.75,0.4453111548339616,8741
12,36,-24.0,-1.0,0.6530200272100356,8632
12,42,-30.0,-1.25,0.7410953513970966,8627
12,48,-24.0,-1.0,0.8097898051875665,8589
12,54,-24.0,-1.0,0.8211033210616837,8585
12,60,-24.0,-1.0,0.7837982983271267,8577
12,66,-30.0,-1.25,0.7411531995545062,8570
12,72,-30.0,-1.25,0.6982014592267018,8568
12,78,-30.0,-1.25,0.657390786996593,8571
12,84,-30.0,-1.25,0.6211761042183507,8575
12,90,-36.0,-1.5,0.5899556090036417,8579
12,96,-36.0,-1.5,0.5643214077799772,8572
12,102,-36.0,-1.5,0.5448106020463753,8568
12,108,-36.0,-1.5,0.5309771656449486,8567
12,114,-36.0,-1.5,0.5215394218686676,8559
12,120,-36.0,-1.5,0.5138978056116308,8558
18,36,-18.0,-0.75,0.5949265696993499,8686
18,42,-18.0,-0.75,0.6938246432492402,8663
18,48,-24.0,-1.0,0.8003562078839485,8659
18,54,-24.0,-1.0,0.84383298966017,8643
18,60,-24.0,-1.0,0.8225346762202139,8633
18,66,-24.0,-1.0,0.7872325060885978,8625
18,72,-30.0,-1.25,0.744082731863521,8622
18,78,-30.0,-1.25,0.6992155939169868,8624
18,84,-30.0,-1.25,0.6562886484165454,8628
18,90,-30.0,-1.25,0.6220420088600993,8634
18,96,-30.0,-1.25,0.5930624585708345,8627
18,102,-30.0,-1.25,0.5717746883011428,8623
18,108,-30.0,-1.25,0.5565149385320612,8622
18,114,-30.0,-1.25,0.5460015991428758,8614
18,120,-30.0,-1.25,0.5377874180446202,8613
24,36,-12.0,-0.5,0.4992191050467807,8705
24,42,-18.0,-0.75,0.5908604519556111,8726
24,48,-18.0,-0.75,0.7527588838561503,8794
24,54,-24.0,-1.0,0.8680599984330067,8813
24,60,-24.0,-1.0,0.8874746886209914,8792
24,66,-24.0,-1.0,0.868508258910114,8782
24,72,-24.0,-1.0,0.8358240336268279,8778
24,78,-30.0,-1.25,0.7923869702801605,8780
24,84,-30.0,-1.25,0.746035401235792,8782
24,90,-30.0,-1.25,0.7060979987871543,8787
24,96,-30.0,-1.25,0.6759764709000194,8783
24,102,-30.0,-1.25,0.6526119185556853,8778
24,108,-30.0,-1.25,0.6357494351402815,8776
24,114,-30.0,-1.25,0.6240027931920256,8769
24,120,-30.0,-1.25,0.6155716741587162,8768
30,36,-6.0,-0.25,0.4623521136957844,8705
30,42,-12.0,-0.5,0.5260728491239548,8727
30,48,-18.0,-0.75,0.691950706396593,8821
30,54,-18.0,-0.75,0.8454160932183815,8827
30,60,-24.0,-1.0,0.9035252457049352,8826
30,66,-24.0,-1.0,0.9114145154080832,8802
30,72,-24.0,-1.0,0.8953377484917117,8795
30,78,-24.0,-1.0,0.8666665548091574,8796
30,84,-30.0,-1.25,0.8310138644380052,8799
30,90,-30.0,-1.25,0.7951763907611472,8801
30,96,-30.0,-1.25,0.7645804418540888,8798
30,102,-30.0,-1.25,0.742669499655629,8795
30,108,-30.0,-1.25,0.7258413891139673,8792
30,114,-30.0,-1.25,0.7123759767369343,8785
30,120,-30.0,-1.25,0.7025226849011582,8784
36,36,0.0,0.0,0.47116267177293336,8704
36,42,-6.0,-0.25,0.5154875595953337,8726
36,48,-12.0,-0.5,0.6636029332744122,8821
36,54,-18.0,-0.75,0.8136361909607054,8850
36,60,-24.0,-1.0,0.8788773058828876,8849
36,66,-24.0,-1.0,0.9084084570332849,8821
36,72,-24.0,-1.0,0.9146431530108702,8802
