time,init_utc,cycle,basin,mm_6h
2018-12-20T00:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,9.213121182920198e-05
2018-12-20T00:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.0017784889379907753
2018-12-20T06:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,7.150863103661117e-05
2018-12-20T06:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,0.00027351572940097446
2018-12-20T12:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,1.741421303525399e-05
2018-12-20T12:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,0.0010053456251943396
2018-12-20T18:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0005702605052115823
2018-12-20T18:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,0.0015343064962125683
2018-12-21T00:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0
2018-12-21T00:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,2.1497407435638417e-05
2018-12-21T06:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0005052985356350713
2018-12-21T06:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,0.0004186915046641793
2018-12-21T12:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00011205424506569413
2018-12-21T12:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,0.001057508535358365
2018-12-21T18:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00020799117669567394
2018-12-21T18:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,0.0010608593459166071
2018-12-22T00:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,2.4977732227065288e-05
2018-12-22T00:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,0.00026183388046342715
2018-12-22T06:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,9.91792941705338e-05
2018-12-22T06:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_10_Missouri,0.0006985434295036859
2018-12-22T12:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_07_UpperMiss,1.4465929671541655e-05
2018-12-22T12:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_10_Missouri,0.0004298107863616175
2018-12-22T18:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00022798520907537308
2018-12-22T18:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_10_Missouri,8.996633584568012e-05
2018-12-23T00:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00011120704049340947
2018-12-23T00:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_10_Missouri,7.152977300404692e-05
2018-12-23T06:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_07_UpperMiss,9.021386011107106e-05
2018-12-23T06:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_10_Missouri,0.000445170036349045
2018-12-23T12:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_07_UpperMiss,4.307676594668166e-05
2018-12-23T12:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_10_Missouri,0.00022922435974350044
2018-12-23T18:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00027872346887182817
2018-12-23T18:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_10_Missouri,0.0005785602924223644
2018-12-24T00:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00011266254098033819
2018-12-24T00:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_10_Missouri,0.0010549645273736298
2018-12-24T06:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0012348679705054615
2018-12-24T06:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_10_Missouri,0.00023360237532401342
2018-12-24T12:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00013476531126975966
2018-12-24T12:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_10_Missouri,9.232953349498312e-05
2018-12-24T18:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_07_UpperMiss,7.488868510075773e-05
2018-12-24T18:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_10_Missouri,0.00240351500105481
2018-12-25T00:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0016181122514234432
2018-12-25T00:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_10_Missouri,0.0019227623873795503
2018-12-25T06:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00020431593753480936
2018-12-25T06:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_10_Missouri,0.00015027821383173446
2018-12-25T12:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_07_UpperMiss,3.577047957779034e-05
2018-12-25T12:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_10_Missouri,6.074505985982788e-05
2018-12-25T18:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_07_UpperMiss,7.255659251980967e-06
2018-12-25T18:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_10_Missouri,0.0004516524225855261
2018-12-26T00:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0007685847647941231
2018-12-26T00:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_10_Missouri,0.0004532819897029308
2018-12-26T06:00:00+00:00,2018-12-06T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00037795586217947654
2018-12-26T06:00:00+00:00,2018-12-06T06:00:00+00:00,06,HUC2_10_Missouri,0.0005527916165085633
2018-12-26T12:00:00+00:00,2018-12-06T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00011806726930173362
2018-12-26T12:00:00+00:00,2018-12-06T12:00:00+00:00,12,HUC2_10_Missouri,0.0005830165675928055
2018-12-26T18:00:00+00:00,2018-12-06T18:00:00+00:00,18,HUC2_07_UpperMiss,0.002551468775771024
2018-12-26T18:00:00+00:00,2018-12-06T18:00:00+00:00,18,HUC2_10_Missouri,0.0035130910171593957
2018-12-27T00:00:00+00:00,2018-12-07T00:00:00+00:00,00,HUC2_07_UpperMiss,6.698514533117226e-05
2018-12-27T00:00:00+00:00,2018-12-07T00:00:00+00:00,00,HUC2_10_Missouri,0.00013554303151051096
2018-12-27T06:00:00+00:00,2018-12-07T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0001234581910424502
2018-12-27T06:00:00+00:00,2018-12-07T06:00:00+00:00,06,HUC2_10_Missouri,0.00010283902051921115
2018-12-27T12:00:00+00:00,2018-12-07T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0009179376301310231
2018-12-27T12:00:00+00:00,2018-12-07T12:00:00+00:00,12,HUC2_10_Missouri,0.0004715596598007369
2018-12-27T18:00:00+00:00,2018-12-07T18:00:00+00:00,18,HUC2_07_UpperMiss,8.994834027667126e-05
2018-12-27T18:00:00+00:00,2018-12-07T18:00:00+00:00,18,HUC2_10_Missouri,4.8984829591722944e-06
2018-12-28T00:00:00+00:00,2018-12-08T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00010303150720766877
2018-12-28T00:00:00+00:00,2018-12-08T00:00:00+00:00,00,HUC2_10_Missouri,0.0007752097856089153
2018-12-28T06:00:00+00:00,2018-12-08T06:00:00+00:00,06,HUC2_07_UpperMiss,9.871408102035249e-05
2018-12-28T06:00:00+00:00,2018-12-08T06:00:00+00:00,06,HUC2_10_Missouri,0.0004594352015559659
2018-12-28T12:00:00+00:00,2018-12-08T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00015285390665099709
2018-12-28T12:00:00+00:00,2018-12-08T12:00:00+00:00,12,HUC2_10_Missouri,8.196274559772946e-05
2018-12-28T18:00:00+00:00,2018-12-08T18:00:00+00:00,18,HUC2_07_UpperMiss,2.1301161313691813e-05
2018-12-28T18:00:00+00:00,2018-12-08T18:00:00+00:00,18,HUC2_10_Missouri,6.871122986309518e-06
2018-12-29T00:00:00+00:00,2018-12-09T00:00:00+00:00,00,HUC2_07_UpperMiss,7.215193156819747e-05
2018-12-29T00:00:00+00:00,2018-12-09T00:00:00+00:00,00,HUC2_10_Missouri,0.00018119083333924558
2018-12-29T06:00:00+00:00,2018-12-09T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00043750541076850995
2018-12-29T06:00:00+00:00,2018-12-09T06:00:00+00:00,06,HUC2_10_Missouri,5.6368341733843446e-05
2018-12-29T12:00:00+00:00,2018-12-09T12:00:00+00:00,12,HUC2_07_UpperMiss,6.88474248480717e-05
2018-12-29T12:00:00+00:00,2018-12-09T12:00:00+00:00,12,HUC2_10_Missouri,0.0010967176526575778
2018-12-29T18:00:00+00:00,2018-12-09T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00020650887707095546
2018-12-29T18:00:00+00:00,2018-12-09T18:00:00+00:00,18,HUC2_10_Missouri,0.00113753019614978
2018-12-30T00:00:00+00:00,2018-12-10T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00032044313216299545
2018-12-30T00:00:00+00:00,2018-12-10T00:00:00+00:00,00,HUC2_10_Missouri,9.236493769590343e-05
2018-12-30T06:00:00+00:00,2018-12-10T06:00:00+00:00,06,HUC2_07_UpperMiss,9.05777542198213e-05
2018-12-30T06:00:00+00:00,2018-12-10T06:00:00+00:00,06,HUC2_10_Missouri,0.0014242951860835892
2018-12-30T12:00:00+00:00,2018-12-10T12:00:00+00:00,12,HUC2_07_UpperMiss,5.4555564237811e-06
2018-12-30T12:00:00+00:00,2018-12-10T12:00:00+00:00,12,HUC2_10_Missouri,5.102395911668929e-05
2018-12-30T18:00:00+00:00,2018-12-10T18:00:00+00:00,18,HUC2_07_UpperMiss,1.2982304195626965e-06
2018-12-30T18:00:00+00:00,2018-12-10T18:00:00+00:00,18,HUC2_10_Missouri,3.5593395548284483e-06
2018-12-31T00:00:00+00:00,2018-12-11T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0002176021539886034
2018-12-31T00:00:00+00:00,2018-12-11T00:00:00+00:00,00,HUC2_10_Missouri,0.0001684778298011458
2018-12-31T06:00:00+00:00,2018-12-11T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00010603709935691042
2018-12-31T06:00:00+00:00,2018-12-11T06:00:00+00:00,06,HUC2_10_Missouri,3.087100864631653e-05
2018-12-31T12:00:00+00:00,2018-12-11T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0001335679140003846
2018-12-31T12:00:00+00:00,2018-12-11T12:00:00+00:00,12,HUC2_10_Missouri,0.00021432718174990345
2018-12-31T18:00:00+00:00,2018-12-11T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0015994799964621032
2018-12-31T18:00:00+00:00,2018-12-11T18:00:00+00:00,18,HUC2_10_Missouri,0.0008747342586328646
2019-01-01T00:00:00+00:00,2018-12-12T00:00:00+00:00,00,HUC2_07_UpperMiss,7.5969313272998e-05
2019-01-01T00:00:00+00:00,2018-12-12T00:00:00+00:00,00,HUC2_10_Missouri,0.0021154815954669568
2019-01-01T06:00:00+00:00,2018-12-12T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0002104780891838251
2019-01-01T06:00:00+00:00,2018-12-12T06:00:00+00:00,06,HUC2_10_Missouri,0.00073735170462826
2019-01-01T12:00:00+00:00,2018-12-12T12:00:00+00:00,12,HUC2_07_UpperMiss,9.361275286967881e-05
2019-01-01T12:00:00+00:00,2018-12-12T12:00:00+00:00,12,HUC2_10_Missouri,0.0006796427032020481
2019-01-01T18:00:00+00:00,2018-12-12T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0004563295370843811
2019-01-01T18:00:00+00:00,2018-12-12T18:00:00+00:00,18,HUC2_10_Missouri,0.001211741804773988
2019-01-02T00:00:00+00:00,2018-12-13T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0005169052888881767
2019-01-02T00:00:00+00:00,2018-12-13T00:00:00+00:00,00,HUC2_10_Missouri,0.0002148405912784575
2019-01-02T06:00:00+00:00,2018-12-13T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00022736253599061688
2019-01-02T06:00:00+00:00,2018-12-13T06:00:00+00:00,06,HUC2_10_Missouri,0.001053040032706716
2019-01-02T12:00:00+00:00,2018-12-13T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0003779990215336644
2019-01-02T12:00:00+00:00,2018-12-13T12:00:00+00:00,12,HUC2_10_Missouri,0.0006318437740884779
2019-01-02T18:00:00+00:00,2018-12-13T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0001306010722036515
2019-01-02T18:00:00+00:00,2018-12-13T18:00:00+00:00,18,HUC2_10_Missouri,0.00024442338539407257
2019-01-03T00:00:00+00:00,2018-12-14T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00037993540308466946
2019-01-03T00:00:00+00:00,2018-12-14T00:00:00+00:00,00,HUC2_10_Missouri,0.00015903140822450183
2019-01-03T06:00:00+00:00,2018-12-14T06:00:00+00:00,06,HUC2_07_UpperMiss,8.927240989027843e-05
2019-01-03T06:00:00+00:00,2018-12-14T06:00:00+00:00,06,HUC2_10_Missouri,0.0014742355971901172
