season,STL_horizon_hr,CHS_horizon_hr,best_lag_hours,best_lag_days,max_corr,N_overlap
wet,6,6,0.0,0.0,0.5938075251482519,4232
wet,6,12,-6.0,-0.25,0.6395322513678433,4227
wet,6,18,-12.0,-0.5,0.6650848390074826,4221
wet,6,24,-18.0,-0.75,0.6916226496637838,4214
wet,6,30,-24.0,-1.0,0.7597376452233987,4154
wet,6,36,-30.0,-1.25,0.782306621494767,4071
wet,6,42,-36.0,-1.5,0.800945713322588,4086
wet,6,48,-42.0,-1.75,0.7859678152483496,4152
wet,6,54,-42.0,-1.75,0.6976710094558166,4153
wet,6,60,-30.0,-1.25,0.6114293836210069,4152
wet,6,66,-30.0,-1.25,0.5533987391139672,4145
wet,6,72,-36.0,-1.5,0.5235112454275874,4138
wet,6,78,-36.0,-1.5,0.5113001214825131,4142
wet,6,84,-36.0,-1.5,0.5029502141405188,4148
wet,6,90,-42.0,-1.75,0.49809768709965996,4148
wet,6,96,-42.0,-1.75,0.49040582758027257,4143
wet,6,102,-48.0,-2.0,0.4833947551817348,4132
wet,6,108,-60.0,-2.5,0.47451615945441217,4119
wet,6,114,-66.0,-2.75,0.4719127542510452,4105
wet,6,120,-66.0,-2.75,0.47046509039334483,4105
wet,12,6,6.0,0.25,0.34668345848587584,4030
wet,12,12,0.0,0.0,0.40423970388397273,4037
wet,12,18,-6.0,-0.25,0.4268845202510795,4031
wet,12,24,-12.0,-0.5,0.4511854623843072,4025
wet,12,30,-18.0,-0.75,0.5669861888647039,4017
wet,12,36,-18.0,-0.75,0.7702942151832027,3998
wet,12,42,-24.0,-1.0,0.8601671896528716,3991
wet,12,48,-30.0,-1.25,0.8622717140290682,3983
wet,12,54,-24.0,-1.0,0.7913374571650531,3981
wet,12,60,-24.0,-1.0,0.6986860565750651,3975
wet,12,66,-30.0,-1.25,0.6228953362869896,3964
wet,12,72,-30.0,-1.25,0.5745474606209399,3962
wet,12,78,-30.0,-1.25,0.5495680941079751,3964
wet,12,84,-30.0,-1.25,0.5347703584710108,3967
wet,12,90,-36.0,-1.5,0.5253654969670786,3967
wet,12,96,-36.0,-1.5,0.5168750096432239,3961
wet,12,102,-36.0,-1.5,0.5082937383964088,3957
wet,12,108,-36.0,-1.5,0.49919765501873065,3955
wet,12,114,-36.0,-1.5,0.4915639207093897,3947
wet,12,120,-36.0,-1.5,0.483501583039492,3946
wet,18,6,12.0,0.5,0.32787700370800316,4075
wet,18,12,6.0,0.25,0.39567508348420233,4082
wet,18,18,0.0,0.0,0.4193281101612762,4089
