Station,Subset,Value,Horizon,Metric,LeadDays
01_Rulo,All,0.07559107063527322,006,MAE,0.25
01_Rulo,mem1,0.07231614775136705,006,MAE,0.25
01_Rulo,mem2,0.07231914184081815,006,MAE,0.25
01_Rulo,mem3,0.07234066547565877,006,MAE,0.25
01_Rulo,mem4,0.07223601333827344,006,MAE,0.25
02_St_Joseph,All,0.0892141097424412,006,MAE,0.25
02_St_Joseph,mem1,0.08642670716616042,006,MAE,0.25
02_St_Joseph,mem2,0.08639757956073509,006,MAE,0.25
02_St_Joseph,mem3,0.08638005178430712,006,MAE,0.25
02_St_Joseph,mem4,0.08616788956597438,006,MAE,0.25
03_Kansas_City,All,0.10045779112445778,006,MAE,0.25
03_Kansas_City,mem1,0.09764212290502793,006,MAE,0.25
03_Kansas_City,mem2,0.09765887590428492,006,MAE,0.25
03_Kansas_City,mem3,0.0975490831842576,006,MAE,0.25
03_Kansas_City,mem4,0.09758294190358467,006,MAE,0.25
04_Waverly,All,0.08819702354509108,006,MAE,0.25
04_Waverly,mem1,0.08572866227825504,006,MAE,0.25
04_Waverly,mem2,0.085812513891976,006,MAE,0.25
04_Waverly,mem3,0.08588500614044883,006,MAE,0.25
04_Waverly,mem4,0.08645437708359056,006,MAE,0.25
05_Boonville,All,0.17525711743772246,006,MAE,0.25
05_Boonville,mem1,0.1725733437604737,006,MAE,0.25
05_Boonville,mem2,0.17280681059425773,006,MAE,0.25
05_Boonville,mem3,0.17285198434879823,006,MAE,0.25
05_Boonville,mem4,0.17116780017311733,006,MAE,0.25
06_Hermann,All,0.2057272011694591,006,MAE,0.25
06_Hermann,mem1,0.20314674649796655,006,MAE,0.25
06_Hermann,mem2,0.2033954090244177,006,MAE,0.25
06_Hermann,mem3,0.2030222699525209,006,MAE,0.25
06_Hermann,mem4,0.2038319789973747,006,MAE,0.25
07_St_Charles,All,0.14304999999999998,006,MAE,0.25
07_St_Charles,mem1,0.1402038431284414,006,MAE,0.25
07_St_Charles,mem2,0.14053660174613836,006,MAE,0.25
07_St_Charles,mem3,0.14051433711908243,006,MAE,0.25
07_St_Charles,mem4,0.1400215067130781,006,MAE,0.25
08_Grafton,All,0.1704330326944758,006,MAE,0.25
08_Grafton,mem1,0.1697665043596422,006,MAE,0.25
08_Grafton,mem2,0.17018520189487932,006,MAE,0.25
08_Grafton,mem3,0.1700095184135977,006,MAE,0.25
08_Grafton,mem4,0.17282581453634085,006,MAE,0.25
09_ST_Louis,All,0.2602620151532285,006,MAE,0.25
09_ST_Louis,All,0.25904331599185704,006,MAE,0.25
09_ST_Louis,mem1,0.2564615471998183,006,MAE,0.25
09_ST_Louis,mem2,0.25648415931206153,006,MAE,0.25
09_ST_Louis,mem3,0.2564799363419347,006,MAE,0.25
09_ST_Louis,mem4,0.25813267998492273,006,MAE,0.25
10_Chester,All,0.21074576648841353,006,MAE,0.25
10_Chester,mem1,0.2074866830796777,006,MAE,0.25
10_Chester,mem2,0.20741511537175342,006,MAE,0.25
10_Chester,mem3,0.20718723404255318,006,MAE,0.25
10_Chester,mem4,0.2072221946990339,006,MAE,0.25
01_Rulo,All,0.030888024211461574,006,MSE,0.25
01_Rulo,mem1,0.022655424506193508,006,MSE,0.25
01_Rulo,mem2,0.022659325366829703,006,MSE,0.25
01_Rulo,mem3,0.02265927166145601,006,MSE,0.25
01_Rulo,mem4,0.023137534765962704,006,MSE,0.25
02_St_Joseph,All,0.03748263516237402,006,MSE,0.25
02_St_Joseph,mem1,0.030893678816514798,006,MSE,0.25
02_St_Joseph,mem2,0.030933017705064993,006,MSE,0.25
02_St_Joseph,mem3,0.030899136778115503,006,MSE,0.25
02_St_Joseph,mem4,0.03110221514736973,006,MSE,0.25
03_Kansas_City,All,0.03714127082638193,006,MSE,0.25
03_Kansas_City,mem1,0.029818036312849166,006,MSE,0.25
03_Kansas_City,mem2,0.02978112954924875,006,MSE,0.25
03_Kansas_City,mem3,0.02974626464669052,006,MSE,0.25
03_Kansas_City,mem4,0.029775067737948083,006,MSE,0.25
04_Waverly,All,0.029220413371834737,006,MSE,0.25
04_Waverly,mem1,0.02395370902599576,006,MSE,0.25
04_Waverly,mem2,0.023948569571015783,006,MSE,0.25
04_Waverly,mem3,0.023997889471921406,006,MSE,0.25
04_Waverly,mem4,0.02455416767502161,006,MSE,0.25
05_Boonville,All,0.0980723850088968,006,MSE,0.25
05_Boonville,mem1,0.09151291900346331,006,MSE,0.25
05_Boonville,mem2,0.09163406966392167,006,MSE,0.25
05_Boonville,mem3,0.09187903420905535,006,MSE,0.25
05_Boonville,mem4,0.09056220254729815,006,MSE,0.25
06_Hermann,All,0.10578911301023278,006,MSE,0.25
06_Hermann,mem1,0.09914309726615453,006,MSE,0.25
06_Hermann,mem2,0.09918042185214357,006,MSE,0.25
06_Hermann,mem3,0.09914155900972191,006,MSE,0.25
06_Hermann,mem4,0.09987540842605325,006,MSE,0.25
07_St_Charles,All,0.05798199384787472,006,MSE,0.25
07_St_Charles,mem1,0.05174868726823239,006,MSE,0.25
07_St_Charles,mem2,0.05186801096933065,006,MSE,0.25
07_St_Charles,mem3,0.05187757292252334,006,MSE,0.25
07_St_Charles,mem4,0.05193751727996022,006,MSE,0.25
08_Grafton,All,0.0956566670800451,006,MSE,0.25
08_Grafton,mem1,0.09469513554523837,006,MSE,0.25
08_Grafton,mem2,0.09517700293255131,006,MSE,0.25
08_Grafton,mem3,0.09472014232294618,006,MSE,0.25
08_Grafton,mem4,0.09565575087719298,006,MSE,0.25
09_ST_Louis,All,0.17617090003392513,006,MSE,0.25
09_ST_Louis,All,0.16241641857045916,006,MSE,0.25
09_ST_Louis,mem1,0.16271906520504373,006,MSE,0.25
09_ST_Louis,mem2,0.16255359504412764,006,MSE,0.25
09_ST_Louis,mem3,0.1629113227236558,006,MSE,0.25
09_ST_Louis,mem4,0.1673979035054655,006,MSE,0.25
