GsH_ft,Q_cfs
2,54500
2.01,54600
2.02,54600
2.03,54700
2.04,54700
2.05,54800
2.06,54800
2.07,54900
2.08,54900
2.09,55000
2.1,55100
2.11,55100
2.12,55200
2.13,55200
2.14,55300
2.15,55300
2.16,55400
2.17,55400
2.18,55500
2.19,55600
2.2,55600
2.21,55700
2.22,55700
2.23,55800
2.24,55800
2.25,55900
2.26,55900
2.27,56000
2.28,56100
2.29,56100
2.3,56200
2.31,56200
2.32,56300
2.33,56300
2.34,56400
2.35,56400
2.36,56500
2.37,56600
2.38,56600
2.39,56700
2.4,56700
2.41,56800
2.42,56800
2.43,56900
2.44,57000
2.45,57000
2.46,57100
2.47,57100
2.48,57200
2.49,57200
2.5,57300
2.51,57400
2.52,57400
2.53,57500
2.54,57500
2.55,57600
2.56,57600
2.57,57700
2.58,57800
2.59,57800
2.6,57900
2.61,57900
2.62,58000
2.63,58000
2.64,58100
2.65,58200
2.66,58200
2.67,58300
2.68,58300
2.69,58400
2.7,58400
2.71,58500
2.72,58600
2.73,58600
2.74,58700
2.75,58700
2.76,58800
2.77,58900
2.78,58900
2.79,59000
2.8,59000
2.81,59100
2.82,59100
2.83,59200
2.84,59300
2.85,59300
2.86,59400
2.87,59400
2.88,59500
2.89,59600
2.9,59600
2.91,59700
2.92,59700
2.93,59800
2.94,59800
2.95,59900
2.96,60000
2.97,60000
2.98,60100
2.99,60100
3,60200
3.01,60300
3.02,60300
3.03,60400
3.04,60400
3.05,60500
3.06,60600
3.07,60600
3.08,60700
3.09,60700
3.1,60800
3.11,60900
3.12,60900
3.13,61000
3.14,61000
3.15,61100
3.16,61200
3.17,61200
3.18,61300
3.19,61300
3.2,61400
3.21,61500
3.22,61500
3.23,61600
3.24,61600
3.25,61700
3.26,61800
3.27,61800
3.28,61900
3.29,61900
3.3,62000
3.31,62100
3.32,62100
3.33,62200
3.34,62200
3.35,62300
3.36,62400
3.37,62400
3.38,62500
3.39,62500
3.4,62600
3.41,62700
3.42,62700
3.43,62800
3.44,62800
3.45,62900
3.46,63000
3.47,63000
3.48,63100
3.49,63100
3.5,63200
3.51,63300
3.52,63300
3.53,63400
3.54,63500
3.55,63500
3.56,63600
3.57,63600
3.58,63700
3.59,63800
3.6,63800
3.61,63900
3.62,63900
3.63,64000
3.64,64100
3.65,64100
3.66,64200
3.67,64300
3.68,64300
3.69,64400
3.7,64400
3.71,64500
3.72,64600
3.73,64600
3.74,64700
3.75,64800
3.76,64800
3.77,64900
3.78,64900
3.79,65000
3.8,65100
3.81,65100
3.82,65200
3.83,65300
3.84,65300
3.85,65400
3.86,65400
3.87,65500
3.88,65600
3.89,65600
3.9,65700
3.91,65800
3.92,65800
3.93,65900
3.94,65900
3.95,66000
3.96,66100
3.97,66100
3.98,66200
3.99,66300
4,66300
4.01,66400
4.02,66500
4.03,66500
4.04,66600
4.05,66600
4.06,66700
4.07,66800
4.08,66800
4.09,66900
4.1,67000
4.11,67000
4.12,67100
4.13,67200
4.14,67200
4.15,67300
4.16,67300
4.17,67400
4.18,67500
4.19,67500
4.2,67600
4.21,67700
4.22,67700
4.23,67800
4.24,67900
4.25,67900
4.26,68000
4.27,68100
4.28,68100
4.29,68200
